track_genre,valence,energy,danceability,tempo,acousticness,instrumentalness,liveness,speechiness,cluster,cluster_name
sad,0.4220495,0.4624701,0.692378,119.06495,0.473710126,0.10574007977,0.1716106,0.1304311,0,acoustic
salsa,0.814838,0.724518,0.668288,119.915089,0.46924546,0.01254381249,0.1823286,0.0561602999999999,4,afrobeat
samba,0.6934091,0.6726435000000001,0.5748970000000001,118.122361,0.48990308,0.00735576425,0.4431924,0.0836434,4,afrobeat
sertanejo,0.619325,0.710391,0.591647,127.052197,0.4366208199999999,0.00016029266,0.4742244,0.0648653,4,afrobeat
show-tunes,0.3788129,0.39874176,0.4637381,114.372216,0.6371923265,0.03786859097,0.2156083999999999,0.108183,0,acoustic
singer-songwriter,0.4142976,0.4341884,0.562022,119.737322,0.552753542,0.02789156575,0.1501931,0.0514857,0,acoustic
ska,0.69672,0.793134,0.5806760000000001,128.338341,0.12157530015,0.03011484573,0.2714103,0.0721267,4,afrobeat
sleep,0.058187871,0.3420717167,0.1679225,84.619491,0.65725270108,0.72353913501,0.3577362,0.056847,3,ambient
songwriter,0.4142976,0.4341884,0.562022,119.737322,0.552753542,0.02789156575,0.1501931,0.0514857,0,acoustic
soul,0.5233104,0.5338726,0.600112,114.629169,0.4015648954,0.01363626904,0.1819059,0.0600308,0,acoustic
spanish,0.5484960999999999,0.707777,0.6043099999999999,122.832437,0.26875821868,0.01730288238,0.2236962,0.0873142,4,afrobeat
study,0.4027009,0.4106580999999999,0.68524,111.763835,0.5306388080000001,0.7897574537000001,0.1612922,0.1000384,3,ambient
swedish,0.5329407,0.6220025,0.590413,121.094523,0.32420006772,0.02216727505,0.1903963,0.0648112,0,acoustic
synth-pop,0.5863771000000001,0.7131349,0.620663,122.850032,0.15232235625,0.082324048,0.18416916,0.0483371,4,afrobeat
tango,0.5835295,0.372828,0.537862,114.55432,0.846208935,0.13971501043,0.2303476,0.0798359,0,acoustic
techno,0.3218783,0.746413,0.684348,128.255482,0.08141377308,0.5400382181,0.1594341,0.0642115,5,breakbeat
trance,0.2768808,0.845272,0.583409,133.276726,0.0358702953,0.42350094276,0.2343574,0.0797055,1,alt-rock
trip-hop,0.4780688,0.6223630000000001,0.634695,118.743616,0.22561481075,0.38376133848,0.1903421,0.0763031,5,breakbeat
turkish,0.4623137,0.6098036,0.616077,120.367607,0.3211246845,0.0356028508,0.1807503,0.1050867,0,acoustic
world-music,0.25029526,0.5329867402999999,0.414572,121.393711,0.29954666447,0.09182382283,0.2503925999999999,0.041768,0,acoustic
