track_genre,valence,energy,danceability,tempo,acousticness,instrumentalness,liveness,speechiness
acoustic,0.42402300000000004,0.43536810000000004,0.549593,119.01062399999999,0.56681639833,0.03833583693,0.1532444,0.043247
afrobeat,0.6986192,0.702812,0.6695800000000001,119.213337,0.2708599523,0.25348287056,0.184596,0.0865789
alt-rock,0.5182603,0.754173,0.5344930000000001,124.63440399999999,0.12216223569000001,0.054096570069999995,0.2102486,0.0550705
alternative,0.4955701,0.72003,0.5599270000000001,122.232394,0.14782023359000002,0.0381586047,0.2013763,0.0701007
ambient,0.16749819999999999,0.23716178999999998,0.3678668,111.113129,0.7767899403999999,0.6762211611,0.12928309999999998,0.041561999999999995
anime,0.4344631,0.6741083,0.5374514,123.52961599999999,0.26773437274,0.26297120969000004,0.19717500000000002,0.087323
black-metal,0.1917364,0.8748973,0.29641090000000003,128.601515,0.02705552076,0.44084682085,0.2414203,0.0871562
bluegrass,0.6350927000000001,0.5302796,0.5346920000000001,126.578805,0.556587756,0.13680780283,0.2276738,0.038690300000000004
blues,0.6040318,0.5818775,0.568567,116.568352,0.3981138453,0.03409199347,0.1918301,0.0639181
brazil,0.46978960000000003,0.620721,0.562948,121.935644,0.3323864701,0.013079727840000001,0.297962,0.0959996
breakbeat,0.4747443,0.853275,0.6461939999999999,133.03021299999997,0.031410166180000004,0.39585736039,0.2203164,0.0857084
british,0.4397141,0.50712697,0.5012758,118.828617,0.42794293626,0.19367906512,0.1742984,0.05001
cantopop,0.3935679,0.4616962,0.547909,124.27733500000001,0.5362672456,0.012618851720000001,0.19194540000000002,0.0390832
chicago-house,0.5865412,0.7332150000000001,0.7661760000000001,123.92268000000001,0.035310449570000006,0.48280494636000004,0.137569,0.0743887
children,0.6942874,0.49464517999999996,0.716467,123.341201,0.49867714840000005,0.060557063710000004,0.1813519,0.0927109
chill,0.4037695,0.42672289999999996,0.664346,115.479376,0.5340969548000001,0.17802204236,0.1682,0.10216710000000001
classical,0.38105,0.189827326,0.3819228,107.949793,0.9200489485,0.6192076276599999,0.1668376,0.0508306
club,0.3682132,0.7217338,0.6033541,123.301328,0.15939126669,0.34782217578,0.1993685,0.0943238
comedy,0.4548455,0.699934,0.577195,100.995582,0.726476182,0.00052477331,0.6616660000000001,0.7556253
country,0.5214813,0.5968052,0.555294,123.963307,0.321226736,0.00558462043,0.1772382,0.042268
dance,0.5525414,0.708583,0.687856,120.128306,0.1311856039,0.00835941532,0.1681884,0.0876378
dancehall,0.6290086,0.6852619999999999,0.734169,112.909984,0.215493569,0.0071340299600000006,0.1567694,0.1869861
death-metal,0.2476111,0.93147,0.36841090000000004,123.779016,0.0066957065,0.27573075265,0.2432416,0.1112591
deep-house,0.4472821,0.741855,0.710448,120.874904,0.10145172488,0.23761450877,0.1708076,0.0599097
detroit-techno,0.4692299,0.7105123999999999,0.722568,126.59223399999999,0.06564069705999999,0.6995483518,0.15450909999999998,0.07271670000000001
disco,0.6707538,0.737565,0.676692,121.97438000000001,0.1662128304,0.08095198711,0.1953252,0.0592516
disney,0.3685574,0.30251886,0.46287419999999996,112.060854,0.7428922646,0.38355346894000003,0.16853030000000002,0.0748771
drum-and-bass,0.32147390000000003,0.8766349999999999,0.535486,155.241712,0.025930575560000002,0.37143774644,0.2205559,0.0916362
dub,0.3867285,0.714817,0.575321,129.450647,0.1224407862,0.08852665392999999,0.1895502,0.09729600000000001
dubstep,0.2717089,0.758969,0.518087,133.631709,0.1136410973,0.09307878863,0.19962649999999998,0.0903804
edm,0.4651983,0.756196,0.64822,122.037299,0.11427024799999999,0.040052845249999997,0.19296719999999998,0.07038599999999999
electro,0.46674329999999997,0.665,0.651749,120.83505899999999,0.227599936,0.037723350860000004,0.1850172,0.07943040000000001
electronic,0.39183890000000005,0.6947523,0.652945,122.947839,0.17702646910000003,0.24869727176,0.19077629999999998,0.08176779999999999
emo,0.441135,0.6699669202999999,0.599321,126.992643,0.19508066629999998,0.03028117864,0.18373759999999997,0.1089572
folk,0.4906028,0.545807,0.558514,118.469526,0.475332133,0.03767461184,0.17610659999999997,0.0587055
forro,0.7606934,0.789526,0.6497759999999999,140.362197,0.39757555,0.0012565736,0.2949711,0.05718910000000001
french,0.42993950000000003,0.5949901999999999,0.6514675999999999,117.82008599999999,0.34971259679,0.15883940872,0.1744812,0.1266466
funk,0.5996525,0.632999,0.678184,117.755823,0.29965703309999997,0.00779820822,0.18055690000000002,0.15164850000000002
garage,0.5180332,0.7443500000000001,0.48426440000000004,127.048215,0.16750723035999998,0.18986973912,0.2126866,0.0659337
german,0.37907799999999997,0.53171768,0.5243375,117.503453,0.38183399837000004,0.28890127507,0.1963818,0.0975087
gospel,0.3206412,0.5762564,0.473298,125.62512699999999,0.37689054299999997,0.00330670977,0.2986686,0.0412708
goth,0.443546,0.7409699202000001,0.478875,124.267599,0.16407584244,0.11941419645000001,0.2303572,0.0730923
grindcore,0.2164336,0.924201,0.2718537,119.22991499999999,0.0086983045,0.53845566901,0.28123469999999995,0.1374715
groove,0.42647250000000003,0.7636218,0.5839099999999999,123.739211,0.1316428056,0.14554150927,0.2311153,0.0707264
grunge,0.400373,0.80329,0.457062,129.349208,0.05344148973,0.036983488950000004,0.22212610000000002,0.0610544
guitar,0.4322858,0.3249991859,0.5400374,112.00023900000001,0.773052655,0.5161544192899999,0.14967429999999998,0.0514369
happy,0.32746749999999997,0.910971,0.552847,152.908962,0.0572435269,0.26364107856999996,0.28414280000000003,0.1198609
hard-rock,0.5143641,0.7950389999999999,0.48225,125.381797,0.09038445053,0.049617118509999995,0.22125999999999998,0.0664507
hardcore,0.4962738,0.842453,0.546411,125.376114,0.06491318171,0.06889598401000001,0.23517359999999998,0.1493543
hardstyle,0.3118884,0.901246,0.5392290000000001,146.83745199999998,0.0511382233,0.14268751914,0.2570746,0.122424
heavy-metal,0.3882028,0.8740030000000001,0.42849970000000004,126.61390700000001,0.014967978009999999,0.08255638091,0.2795502,0.074557
hip-hop,0.5512478,0.68253,0.736154,116.769582,0.19417496299999998,0.0109065493,0.1926446,0.13035339999999998
honky-tonk,0.631621,0.36695690000000003,0.5712229999999999,116.556879,0.7120060718,0.057094710990000005,0.1904161,0.037221899999999995
house,0.4946745,0.755083,0.668534,121.106951,0.108655858,0.03799165293,0.1879849,0.0693883
idm,0.3025475,0.5553989500000001,0.5278375,123.29737700000001,0.37767211412,0.67493109684,0.16831770000000001,0.0754502
indian,0.463024,0.567121,0.592273,116.142954,0.484919069,0.03940822574,0.1729221,0.0721358
indie,0.4679571,0.5561919000000001,0.587272,119.093452,0.38038630683,0.05280611277,0.1603606,0.06265509999999999
indie-pop,0.4606154,0.5611395,0.60437,120.17900900000001,0.37235657733,0.041932595339999996,0.1674189,0.06586109999999999
industrial,0.4248738,0.8617453,0.530416,126.831205,0.03672752687,0.19203051923,0.2329869,0.0868167
iranian,0.15353640000000002,0.5458459026000001,0.30068599999999995,114.769364,0.41092916465,0.58984838166,0.19205080000000002,0.0910141
j-dance,0.5643654,0.7037546,0.680557,114.915894,0.23046908859999998,0.03067018381,0.18384999999999999,0.22040539999999997
j-idol,0.5775307000000001,0.8686773,0.548819,136.11200399999998,0.15150795199,0.03723634038,0.2293279,0.0694834
j-pop,0.5415591,0.6796042,0.551678,124.61311500000001,0.28208791462,0.011578810799999999,0.1985291,0.059366999999999996
j-rock,0.5377491999999999,0.7606839999999999,0.509069,128.52244199999998,0.16859578103,0.0234557353,0.2236261,0.0644018
jazz,0.490289,0.35295443,0.5099750000000001,112.63646899999999,0.715815707,0.07956107896999999,0.1700251,0.055013
k-pop,0.5567379379379379,0.6757467467467467,0.6478788788788788,119.2248028028028,0.29257076476476473,0.009834319639639641,0.176397997997998,0.08805205205205205
kids,0.6808638,0.6131286,0.778906,121.750705,0.2386349012,0.0197203884,0.1720335,0.1528456
latin,0.631149,0.7270800000000001,0.721902,119.812273,0.183373435,0.00917700209,0.1742917,0.0931231
latino,0.6302008,0.7317965000000001,0.757057,119.385197,0.17220078,0.00806694413,0.1731817,0.1144216
malay,0.5015049,0.5783966,0.628617,119.314765,0.404123097,0.00885122145,0.1731763,0.0809715
mandopop,0.35016430000000004,0.4984339,0.546532,123.47590600000001,0.4802883056,0.00370949509,0.1593046,0.039487499999999995
metal,0.4179356,0.840273,0.46428800000000003,127.907465,0.037084863339999996,0.06460309569,0.20515809999999998,0.07026059999999999
metalcore,0.31490179999999995,0.914485,0.4238,130.580195,0.01028573078,0.04569475021,0.25818040000000003,0.1102598
minimal-techno,0.2836202,0.6802720000000001,0.729395,124.74797,0.07093270167,0.74453848094,0.1354632,0.0625747
mpb,0.5564338,0.5797871706,0.5740879999999999,120.16105499999999,0.420858189,0.015458908759999999,0.33946390000000004,0.0565688
new-age,0.1831672,0.21450062,0.3484546,107.958746,0.824022422,0.7130209027900001,0.2004907,0.0456587
opera,0.2152252,0.31705399999999995,0.31356310000000004,105.584558,0.79493148246,0.16291521127000003,0.2198334,0.046434199999999995
pagode,0.687978,0.7121230000000001,0.577723,126.859308,0.53837212,0.0005658295000000001,0.5198638,0.0627869
party,0.6812349000000001,0.8712369999999999,0.667191,131.30032200000002,0.09273522560000001,0.00168788099,0.28773885,0.0873481
piano,0.31326620000000005,0.32010256400000003,0.4550983,118.08467399999999,0.704978913,0.51640990172,0.1448621,0.0468513
pop,0.5062227,0.606437,0.630441,120.92707300000001,0.34369250999999995,0.00902630391,0.1582558,0.0799752
pop-film,0.5292532999999999,0.6045619,0.597146,117.257478,0.44069561599999996,0.008123731810000001,0.166397,0.064057
power-pop,0.6145689999999999,0.801688,0.47341,134.651615,0.08551097744000001,0.06388665367,0.22324619999999998,0.0579358
progressive-house,0.36530009999999996,0.813359,0.6239349999999999,125.093636,0.06138703639,0.20048227569,0.20933090000000001,0.0676695
